month,year,networth,gross_income,after_tax_income,portfolio_value,portfolio_gain,home_equity,home_valuation,cost_mortgage,monthly_property_tax,monthly_maintenance,home_insurance,hoa_fees,non_housing_cost
76,6,1575830.4,39086.12,26578.56,1048867.21,7419.59,526963.19,1265319.02,5367.09,1039.4,483.21,0.0,637.83,7054.8
77,6,1596395.11,39086.12,26578.56,1068422.97,7559.53,527972.13,1265319.02,5367.09,1039.4,483.21,0.0,637.83,7054.8
78,6,1617106.72,39086.12,26578.56,1088119.68,7700.47,528987.03,1265319.02,5367.09,1039.4,483.21,0.0,637.83,7054.8
79,6,1637966.28,39086.12,26578.56,1107958.35,7842.43,530007.92,1265319.02,5367.09,1039.4,483.21,0.0,637.83,7054.8
80,6,1658974.85,39086.12,26578.56,1127940.01,7985.41,531034.84,1265319.02,5367.09,1039.4,483.21,0.0,637.83,7054.8
81,6,1680133.49,39086.12,26578.56,1148065.68,8129.43,532067.81,1265319.02,5367.09,1039.4,483.21,0.0,637.83,7054.8
82,6,1701443.28,39086.12,26578.56,1168336.4,8274.48,533106.89,1265319.02,5367.09,1039.4,483.21,0.0,637.83,7054.8
83,6,1722905.31,39086.12,26578.56,1188753.22,8420.58,534152.09,1265319.02,5367.09,1039.4,483.21,0.0,637.83,7054.8
84,7,1795133.42,41040.43,27907.49,1209317.19,8567.73,585816.23,1315931.78,5367.09,1108.0,495.29,0.0,653.78,7231.17
85,7,1817959.11,41040.43,27907.49,1231085.3,8715.94,586873.81,1315931.78,5367.09,1108.0,495.29,0.0,653.78,7231.17
86,7,1840947.94,41040.43,27907.49,1253010.3,8872.83,587937.63,1315931.78,5367.09,1108.0,495.29,0.0,653.78,7231.17
87,7,1864101.06,41040.43,27907.49,1275093.33,9030.85,589007.74,1315931.78,5367.09,1108.0,495.29,0.0,653.78,7231.17
88,7,1887419.67,41040.43,27907.49,1297335.51,9190.01,590084.16,1315931.78,5367.09,1108.0,495.29,0.0,653.78,7231.17
89,7,1910904.93,41040.43,27907.49,1319738.0,9350.32,591166.93,1315931.78,5367.09,1108.0,495.29,0.0,653.78,7231.17
90,7,1934558.04,41040.43,27907.49,1342301.95,9511.78,592256.09,1315931.78,5367.09,1108.0,495.29,0.0,653.78,7231.17
91,7,1958380.21,41040.43,27907.49,1365028.53,9674.4,593351.69,1315931.78,5367.09,1108.0,495.29,0.0,653.78,7231.17
92,7,1982372.65,41040.43,27907.49,1387918.9,9838.2,594453.74,1315931.78,5367.09,1108.0,495.29,0.0,653.78,7231.17
93,7,2006536.56,41040.43,27907.49,1410974.26,10003.18,595562.31,1315931.78,5367.09,1108.0,495.29,0.0,653.78,7231.17
94,7,2030873.19,41040.43,27907.49,1434195.78,10169.35,596677.42,1315931.78,5367.09,1108.0,495.29,0.0,653.78,7231.17
95,7,2055383.77,41040.43,27907.49,1457584.66,10336.71,597799.11,1315931.78,5367.09,1108.0,495.29,0.0,653.78,7231.17
96,8,2132706.81,43092.45,29302.87,1481142.12,10505.28,651564.69,1368569.05,5367.09,1181.12,507.67,0.0,670.12,7411.95
97,8,2158681.76,43092.45,29302.87,1505982.1,10675.07,652699.66,1368569.05,5367.09,1181.12,507.67,0.0,670.12,7411.95
98,8,2184842.44,43092.45,29302.87,1531001.12,10854.1,653841.33,1368569.05,5367.09,1181.12,507.67,0.0,670.12,7411.95
99,8,2211190.19,43092.45,29302.87,1556200.45,11034.42,654989.74,1368569.05,5367.09,1181.12,507.67,0.0,670.12,7411.95
100,8,2237726.33,43092.45,29302.87,1581581.4,11216.04,656144.92,1368569.05,5367.09,1181.12,507.67,0.0,670.12,7411.95
101,8,2264452.21,43092.45,29302.87,1607145.29,11398.97,657306.93,1368569.05,5367.09,1181.12,507.67,0.0,670.12,7411.95
102,8,2291369.21,43092.45,29302.87,1632893.42,11583.22,658475.79,1368569.05,5367.09,1181.12,507.67,0.0,670.12,7411.95
103,8,2318478.67,43092.45,29302.87,1658827.12,11768.79,659651.55,1368569.05,5367.09,1181.12,507.67,0.0,670.12,7411.95
104,8,2345781.99,43092.45,29302.87,1684947.74,11955.7,660834.26,1368569.05,5367.09,1181.12,507.67,0.0,670.12,7411.95
105,8,2373280.56,43092.45,29302.87,1711256.62,12143.96,662023.94,1368569.05,5367.09,1181.12,507.67,0.0,670.12,7411.95
106,8,2400975.75,43092.45,29302.87,1737755.11,12333.58,663220.65,1368569.05,5367.09,1181.12,507.67,0.0,670.12,7411.95
107,8,2428869.0,43092.45,29302.87,1764444.59,12524.56,664424.42,1368569.05,5367.09,1181.12,507.67,0.0,670.12,7411.95
108,9,2511704.47,45247.07,30768.01,1791326.42,12716.92,720378.05,1423311.81,5367.09,1259.08,520.36,0.0,686.87,7597.25
109,9,2541170.52,45247.07,30768.01,1819574.45,12910.67,721596.07,1423311.81,5367.09,1259.08,520.36,0.0,686.87,7597.25
110,9,2570847.36,45247.07,30768.01,1848026.07,13114.26,722821.29,1423311.81,5367.09,1259.08,520.36,0.0,686.87,7597.25
111,9,2600736.48,45247.07,30768.01,1876682.75,13319.32,724053.73,1423311.81,5367.09,1259.08,520.36,0.0,686.87,7597.25
112,9,2630839.42,45247.07,30768.01,1905545.97,13525.86,725293.45,1423311.81,5367.09,1259.08,520.36,0.0,686.87,7597.25
113,9,2661157.7,45247.07,30768.01,1934617.22,13733.89,726540.48,1423311.81,5367.09,1259.08,520.36,0.0,686.87,7597.25
114,9,2691692.87,45247.07,30768.01,1963897.99,13943.41,727794.88,1423311.81,5367.09,1259.08,520.36,0.0,686.87,7597.25
115,9,2722446.47,45247.07,30768.01,1993389.8,14154.45,729056.68,1423311.81,5367.09,1259.08,520.36,0.0,686.87,7597.25
116,9,2753420.08,45247.07,30768.01,2023094.16,14367.0,730325.92,1423311.81,5367.09,1259.08,520.36,0.0,686.87,7597.25
117,9,2784615.28,45247.07,30768.01,2053012.61,14581.09,731602.66,1423311.81,5367.09,1259.08,520.36,0.0,686.87,7597.25
118,9,2816033.64,45247.07,30768.01,2083146.7,14796.73,732886.94,1423311.81,5367.09,1259.08,520.36,0.0,686.87,7597.25
119,9,2847676.76,45247.07,30768.01,2113497.97,15013.91,734178.79,1423311.81,5367.09,1259.08,520.36,0.0,686.87,7597.25
120,10,2438850.48,47509.43,32306.41,1735254.39,15232.66,703596.09,1480244.28,5367.09,1342.18,533.37,0.0,704.05,7787.18
